Country,y2011,y2010,y2009,y2008,y2007,y2006,y2005,y2004,y2003,y2002
Russia,2.4,2.1,2.1,2.3,2.5,2.4,2.8,2.7,2.7,
Rwanda,5.0,4,3.3,3,2.8,2.5,3.1,,,
Saint Lucia,7.0,,,,,,,,,
Saint Vincent and the Grenadines,5.8,,,,,,,,,
Samoa,3.9,4.1,4.5,4.4,4.5,,,,,
Sao Tome and Principe,3.0,3,2.8,2.7,2.7,,,,,
Saudi Arabia,4.4,4.7,4.3,3.5,3.4,3.3,3.4,3.4,4.5,3.1
Senegal,2.9,2.9,3,3.4,3.6,3.3,3.2,3,3.2,
Serbia,3.3,3.5,3.4,3.4,3,2.8,2.7,2.3,,
Seychelles,4.8,4.8,4.8,4.8,4.5,3.6,4,4.4,,
Sierra Leone,2.5,2.4,1.9,2.1,2.2,2.4,2.3,2.2,,9.4
Singapore,9.2,9.3,9.2,9.2,9.3,9.2,9.3,9.4,9.4,3.7
Slovakia,4.0,4.3,4.5,5,4.9,4.7,4.3,4,3.7,5.2
Slovenia,5.9,6.4,6.6,6.7,6.6,6.4,6.1,5.9,6,
Solomon Islands,2.7,2.8,2.8,2.9,2.8,,,,,
Somalia,1.0,1.1,1,1.4,,2.1,,,,4.8
South Africa,4.1,4.5,4.7,4.9,5.1,4.6,4.5,4.6,4.4,4.5
South Korea,5.4,5.4,5.5,5.6,5.1,5.1,5,4.5,4.3,7
Spain,6.2,6.1,6.1,6.5,6.7,6.8,7,6.9,7.1,3.7
Sri Lanka,3.3,3.2,3.1,3.2,3.2,3.1,3.2,3.5,3.4,
Sudan,1.6,1.6,1.6,1.8,2,2.1,2.2,2.3,,
Suriname,3.0,,,,,,,,,
Swaziland,3.1,3.2,3.6,3.6,3.3,2.5,2.7,,,9
Sweden,9.3,9.2,9.2,9.3,9.3,9.2,9.2,9.3,9.3,8.4
Switzerland,8.8,8.7,9,9,9,9.1,9.1,8.8,8.5,
Syria,2.6,2.5,2.1,2.4,2.9,3.4,3.4,3.4,,5.6
Taiwan,6.1,5.8,5.6,5.7,5.7,5.9,5.9,5.6,5.7,
Tajikistan,2.3,2.1,2,2.1,2.2,2.1,2,1.8,,
Tanzania,3.0,2.7,3,3.2,2.9,2.9,2.8,2.5,2.7,3.2
Thailand,3.4,3.5,3.4,3.5,3.3,3.6,3.8,3.6,3.3,
Timor-Leste,2.4,2.5,2.2,2.6,2.6,,,,,
Togo,2.4,2.4,2.7,2.3,2.4,,,,,
Tonga,3.1,3,3,2.4,1.7,,,,,4.9
Trinidad and Tobago,3.2,3.6,3.6,3.6,3.4,3.2,3.8,4.2,4.6,4.8
Tunisia,3.8,4.3,4.2,4.4,4.2,4.6,4.9,5,4.9,3.2
Turkey,4.2,4.4,4.4,4.6,4.1,3.8,3.5,3.2,3.1,
Turkmenistan,1.6,1.6,1.8,2,2.2,1.8,2,,,
Uganda,2.4,2.5,2.6,2.8,2.7,2.5,2.6,2.2,2.1,
Ukraine,2.3,2.4,2.5,2.7,2.8,2.6,2.2,2.3,2.4,
United Arab Emirates,6.8,6.3,6.5,5.9,5.7,6.2,6.2,6.1,5.2,8.3
United Kingdom,7.8,7.6,7.7,7.7,8.4,8.6,8.6,8.6,8.7,7.6
United States,7.1,7.1,7.5,7.3,7.2,7.3,7.6,7.5,7.7,5.1
Uruguay,7.0,6.9,6.7,6.9,6.7,6.4,5.9,5.5,5.1,
Uzbekistan,1.6,1.6,1.8,1.7,2.7,2.2,2.3,2.4,2.9,
Vanuatu,3.5,3.6,3.2,2.9,3.1,,,,,
Venezuela,1.9,2,1.9,2,2.3,2.3,2.3,2.4,2.5,
Vietnam,2.9,2.7,2.7,2.6,2.6,2.6,2.6,2.4,2.4,
Yemen,2.1,2.2,2.3,2.5,2.6,2.7,2.4,2.6,2.4,2.6
Zambia,3.2,3,3,2.8,2.6,2.6,2.6,2.6,2.5,
Zimbabwe,2.2,2.4,1.8,2.1,2.4,2.6,2.3,2.3,2.7,
